"","Community_1","Community_2","Community_3"
"1","Species_1","Species_1","Species_2"
"2","Species_1","Species_1","Species_4"
"3","Species_1","Species_1","Species_4"
"4","Species_1","Species_1","Species_7"
"5","Species_1","Species_1","Species_4"
"6","Species_1","Species_1","Species_3"
"7","Species_1","Species_1","Species_5"
"8","Species_1","Species_1","Species_5"
"9","Species_1","Species_1","Species_1"
"10","Species_1","Species_1","Species_9"
"11","Species_1","Species_1","Species_9"
"12","Species_1","Species_1","Species_9"
"13","Species_1","Species_1","Species_3"
"14","Species_1","Species_1","Species_7"
"15","Species_1","Species_1","Species_2"
"16","Species_1","Species_1","Species_4"
"17","Species_1","Species_1","Species_4"
"18","Species_1","Species_1","Species_7"
"19","Species_1","Species_1","Species_10"
"20","Species_1","Species_1","Species_4"
"21","Species_1","Species_1","Species_9"
"22","Species_1","Species_1","Species_10"
"23","Species_1","Species_1","Species_1"
"24","Species_1","Species_1","Species_9"
"25","Species_1","Species_1","Species_6"
"26","Species_1","Species_1","Species_10"
"27","Species_1","Species_1","Species_1"
"28","Species_1","Species_1","Species_7"
"29","Species_1","Species_1","Species_6"
"30","Species_1","Species_1","Species_7"
"31","Species_1","Species_1","Species_10"
"32","Species_1","Species_1","Species_9"
"33","Species_1","Species_1","Species_4"
"34","Species_1","Species_1","Species_2"
"35","Species_1","Species_1","Species_5"
"36","Species_1","Species_1","Species_2"
"37","Species_1","Species_1","Species_4"
"38","Species_1","Species_1","Species_10"
"39","Species_1","Species_1","Species_9"
"40","Species_1","Species_1","Species_7"
"41","Species_1","Species_1","Species_4"
"42","Species_1","Species_1","Species_4"
"43","Species_1","Species_1","Species_9"
"44","Species_1","Species_1","Species_4"
"45","Species_1","Species_1","Species_5"
"46","Species_1","Species_1","Species_9"
"47","Species_1","Species_1","Species_4"
"48","Species_1","Species_1","Species_6"
"49","Species_1","Species_1","Species_6"
"50","Species_1","Species_1","Species_7"
"51","Species_1","Species_1","Species_7"
"52","Species_1","Species_1","Species_2"
"53","Species_1","Species_1","Species_4"
"54","Species_1","Species_1","Species_4"
"55","Species_1","Species_1","Species_1"
"56","Species_1","Species_1","Species_3"
"57","Species_1","Species_1","Species_3"
"58","Species_1","Species_1","Species_7"
"59","Species_1","Species_1","Species_3"
"60","Species_1","Species_1","Species_5"
"61","Species_1","Species_1","Species_8"
"62","Species_1","Species_1","Species_8"
"63","Species_1","Species_1","Species_4"
"64","Species_1","Species_1","Species_6"
"65","Species_1","Species_1","Species_3"
"66","Species_1","Species_1","Species_7"
"67","Species_1","Species_1","Species_1"
"68","Species_1","Species_1","Species_10"
"69","Species_1","Species_1","Species_6"
"70","Species_1","Species_1","Species_4"
"71","Species_1","Species_1","Species_7"
"72","Species_1","Species_1","Species_5"
"73","Species_1","Species_1","Species_8"
"74","Species_1","Species_1","Species_10"
"75","Species_1","Species_1","Species_7"
"76","Species_1","Species_1","Species_5"
"77","Species_1","Species_1","Species_7"
"78","Species_1","Species_1","Species_7"
"79","Species_1","Species_1","Species_8"
"80","Species_1","Species_1","Species_8"
"81","Species_1","Species_1","Species_4"
"82","Species_1","Species_1","Species_3"
"83","Species_1","Species_1","Species_5"
"84","Species_1","Species_1","Species_9"
"85","Species_1","Species_1","Species_8"
"86","Species_1","Species_1","Species_9"
"87","Species_1","Species_1","Species_10"
"88","Species_1","Species_1","Species_7"
"89","Species_1","Species_1","Species_7"
"90","Species_1","Species_1","Species_6"
"91","Species_1","Species_1","Species_9"
"92","Species_1","Species_1","Species_6"
"93","Species_1","Species_1","Species_5"
"94","Species_1","Species_1","Species_5"
"95","Species_1","Species_1","Species_2"
"96","Species_1","Species_1","Species_1"
"97","Species_1","Species_1","Species_4"
"98","Species_1","Species_1","Species_5"
"99","Species_1","Species_1","Species_5"
"100","Species_1","Species_1","Species_1"
"101","Species_1","Species_1","Species_7"
"102","Species_1","Species_1","Species_6"
"103","Species_1","Species_1","Species_6"
"104","Species_1","Species_1","Species_10"
"105","Species_1","Species_1","Species_10"
"106","Species_1","Species_1","Species_10"
"107","Species_1","Species_1","Species_10"
"108","Species_1","Species_1","Species_2"
"109","Species_1","Species_1","Species_9"
"110","Species_1","Species_1","Species_6"
"111","Species_1","Species_1","Species_6"
"112","Species_1","Species_1","Species_1"
"113","Species_1","Species_1","Species_1"
"114","Species_1","Species_1","Species_8"
"115","Species_1","Species_1","Species_1"
"116","Species_1","Species_1","Species_6"
"117","Species_1","Species_1","Species_4"
"118","Species_1","Species_1","Species_6"
"119","Species_1","Species_1","Species_5"
"120","Species_1","Species_1","Species_2"
"121","Species_1","Species_1","Species_5"
"122","Species_1","Species_1","Species_1"
"123","Species_1","Species_1","Species_9"
"124","Species_1","Species_1","Species_4"
"125","Species_1","Species_1","Species_6"
"126","Species_1","Species_1","Species_1"
"127","Species_1","Species_1","Species_2"
"128","Species_1","Species_1","Species_6"
"129","Species_1","Species_1","Species_7"
"130","Species_1","Species_1","Species_2"
"131","Species_1","Species_1","Species_5"
"132","Species_1","Species_1","Species_2"
"133","Species_1","Species_1","Species_9"
"134","Species_1","Species_1","Species_5"
"135","Species_1","Species_1","Species_5"
"136","Species_1","Species_1","Species_2"
"137","Species_1","Species_1","Species_9"
"138","Species_1","Species_1","Species_1"
"139","Species_1","Species_1","Species_8"
"140","Species_1","Species_1","Species_7"
"141","Species_1","Species_1","Species_10"
"142","Species_1","Species_1","Species_10"
"143","Species_1","Species_1","Species_1"
"144","Species_1","Species_1","Species_10"
"145","Species_1","Species_1","Species_5"
"146","Species_1","Species_1","Species_3"
"147","Species_1","Species_1","Species_5"
"148","Species_1","Species_1","Species_2"
"149","Species_1","Species_1","Species_10"
"150","Species_1","Species_1","Species_7"
"151","Species_1","Species_1","Species_9"
"152","Species_1","Species_1","Species_2"
"153","Species_1","Species_1","Species_7"
"154","Species_1","Species_1","Species_7"
"155","Species_1","Species_1","Species_10"
"156","Species_1","Species_1","Species_10"
"157","Species_1","Species_1","Species_7"
"158","Species_1","Species_1","Species_8"
"159","Species_1","Species_1","Species_6"
"160","Species_1","Species_1","Species_1"
"161","Species_1","Species_1","Species_9"
"162","Species_1","Species_1","Species_9"
"163","Species_1","Species_1","Species_2"
"164","Species_1","Species_1","Species_10"
"165","Species_1","Species_1","Species_6"
"166","Species_1","Species_1","Species_5"
"167","Species_1","Species_1","Species_5"
"168","Species_1","Species_1","Species_5"
"169","Species_1","Species_1","Species_6"
"170","Species_1","Species_1","Species_9"
"171","Species_1","Species_1","Species_2"
"172","Species_1","Species_1","Species_6"
"173","Species_1","Species_1","Species_5"
"174","Species_1","Species_1","Species_4"
"175","Species_1","Species_1","Species_9"
"176","Species_1","Species_1","Species_5"
"177","Species_1","Species_1","Species_7"
"178","Species_1","Species_1","Species_8"
"179","Species_1","Species_1","Species_10"
"180","Species_1","Species_1","Species_2"
"181","Species_1","Species_1","Species_9"
"182","Species_1","Species_1","Species_8"
"183","Species_1","Species_1","Species_9"
"184","Species_1","Species_1","Species_2"
"185","Species_1","Species_1","Species_9"
"186","Species_1","Species_1","Species_3"
"187","Species_1","Species_1","Species_9"
"188","Species_1","Species_1","Species_6"
"189","Species_1","Species_1","Species_7"
"190","Species_1","Species_1","Species_10"
"191","Species_1","Species_1","Species_1"
"192","Species_1","Species_1","Species_8"
"193","Species_1","Species_1","Species_2"
"194","Species_1","Species_1","Species_10"
"195","Species_1","Species_1","Species_7"
"196","Species_1","Species_1","Species_8"
"197","Species_1","Species_1","Species_4"
"198","Species_1","Species_1","Species_7"
"199","Species_1","Species_1","Species_6"
"200","Species_1","Species_1","Species_6"
"201","Species_1","Species_1","Species_1"
"202","Species_1","Species_1","Species_4"
"203","Species_1","Species_1","Species_4"
"204","Species_1","Species_1","Species_4"
"205","Species_1","Species_1","Species_5"
"206","Species_1","Species_1","Species_1"
"207","Species_1","Species_1","Species_10"
"208","Species_1","Species_1","Species_2"
"209","Species_1","Species_1","Species_6"
"210","Species_1","Species_1","Species_3"
"211","Species_1","Species_1","Species_6"
"212","Species_1","Species_1","Species_7"
"213","Species_1","Species_1","Species_2"
"214","Species_1","Species_1","Species_1"
"215","Species_1","Species_1","Species_6"
"216","Species_1","Species_1","Species_4"
"217","Species_1","Species_1","Species_9"
