TSID,Species,DBH
T1,Sugar maple,24.5
T10,Sugar maple,74.5
T11,Sugar maple,22.5
T12,Sugar maple,16
T13,Big toothed aspen,32.5
T14,Red maple,12.5
T15,Sugar maple,15
T16,Big toothed aspen,36
T17,Sugar maple,12
T18,Big toothed aspen,24
T19,American beech,13.5
T2,Sugar maple,18.5
T20,Big toothed aspen,22
T21,Sugar maple,13
T22,Red maple,16.5
T23,Catscratch,10
T24,Sugar maple,27
T25,Red maple,15.2
T26,Red maple,17.5
T27,American beech,13.3
T28,American beech,12
T29,Red maple,16.1
T3,Sugar maple,14.5
T31,Musclewood,15
T32,Basswood,52.7
T33,Sugar maple,66
T35,Black cherry,35
T36,White ash,22.5
T37,Red maple,12.1
T38,Slippery elm,12.3
T39,Red maple,19.5
T4,Sugar maple,23
T40,Black cherry,23.7
T41,Black cherry,26.4
T42,White ash,12.2
T43,Black cherry,12.5
T44,American beech,15.2
T45,Red maple,22.9
T46,American beech,20.5
T49,Black cherry,10.5
T5,Red maple,16.5
T50,Sugar maple,18.8
T51,American beech,15.7
T52,American beech,17.5
T53,American beech,24
T54,American beech,15.3
T6,Sugar maple,16.3
T61,Red maple,32
T62,Yellow birch,29.5
T63,Red maple,28.6
T64,Sugar maple,10
T65,Sugar maple,13
T66,Yellow birch,23.5
T67,Yellow birch,22
T69,Sugar maple,16.7
T7,Sugar maple,18.5
T70,Sugar maple,11.2
T71,Yellow birch,32
T72,Sugar maple,15.7
T73,Red maple,19.6
T74,American beech,16.3
T75,Yellow birch,22.2
T76,Sugar maple,32
T77,Catscratch,14.8
T78,American beech,10.5
T79,American beech,13.4
T8,Sugar maple,12
T80,Yellow birch,32
T9,Sugar maple,17
