TSID,Species,DBH
T100,Red maple,31.9
T101,White ash,13.3
T102,Red oak,27.1
T103,Red oak,11.5
T104,Red oak,10.9
T105,Red oak,20
T106,Red maple,43.5
T107,Red oak,20
T108,Red oak,13.4
T109,Red oak,13.8
T110,White oak,16.5
T111,Red oak,17.5
T112,Red oak,10.8
T113,Red oak,11.5
T114,Red oak,15.2
T115,White oak,14
T116,White pine,12
T117,Catscratch,10.5
T118,Red oak,36.5
T119,Red oak,19.8
T120,White oak,13.5
T121,Red oak,16.2
T122,White ash,23.9
T123,Red pine,20.2
T124,Red oak,16.3
T125,Red oak,12.5
T126,Red oak,11
T127,Red pine,10.5
T128,Red oak,33.7
T129,Red oak,37.1
T130,White pine,18.7
T131,White pine,10.7
T132,Red oak,38.6
T133,Choke cherry,21.4
T134,Catscratch,14.3
T135,Catscratch,12.3
T136,White pine,7.6
T137,Choke cherry,8
T138,White oak,47.2
T139,White oak,34.3
T140,White pine,18.9
T141,Choke cherry,10.1
T142,White oak,17.7
T143,White pine,19
T144,White oak,40.6
T145,Shagbark hickory,12.5
T146,White oak,17.3
T147,Red oak,25.4
T148,White pine,12.5
T149,White pine,10.5
T150,Red oak,10
T151,White oak,22.8
T152,White pine,27.3
T153,Red oak,27.3
T154,Choke cherry,16
T155,White pine,8.7
T156,Choke cherry,15.5
T157,White ash,15.7
T81,White oak,22
T82,White pine,< 10
T83,White oak,11
T84,White pine,30
T85,Shagbark hickory,<10
T86,Red oak,<10
T87,Black cherry,15.5
T88,Shagbark hickory,<10
T89,Red oak,30.5
T90,White pine,<10
T91,White pine,<10
T92,White oak,11
T93,White pine,11
T94,White pine,16
T95,White pine,14.1
T96,Red maple,10
T97,White pine,47.1
T98,Red maple,13.3
T99,Quaking aspen,34.2
